CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.0008841499735312307,0.0,1,5,5
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.0007964332242473227,0.0,1,5,5
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.0018344620202020202,0.0,1,5,5
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.0007835624242424243,0.0,1,5,5
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.0011178102464646465,3.4973618769130836,880.3097303983096,4402,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.09252996433422307,8.191322996656714,4.703289830881287,24,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.08465165266728338,8.65527241539569,6.03629276561944,30,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.09131810623723793,8.402056818479318,4.999807002574636,25,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.09047880751998029,7.609183600242017,4.481304717732986,22,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.09024991814474118,7.224580339263447,4.159525242324058,21,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.08666148246752114,8.1546209911431,5.407658970770429,27,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.09191402087173409,7.083331655699602,3.8209077330357553,19,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.09076589930034765,6.863758632454491,3.7327150749468374,19,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.09281171956425074,7.818228856745369,4.37919101490341,22,15
