CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.0008609424242424242,0.0,1,1,1
1,0.000847755,0.0,1,1,1
1,0.001006232,0.0,1,1,1
1,0.0011539050505050504,0.0,1,1,1
1,0.0009261282828282828,0.0,1,1,1
1,0.0008133797979797979,0.0,1,1,1
1,0.0008704222222222222,0.0,1,1,1
1,0.0010062757575757576,0.0,1,1,1
1,0.08554977216494845,10.479108835175273,6.917703747710011,7,7
1,0.096039694,12.87088803301044,6.527625534841046,7,7
1,0.1057675797979798,15.23361215494084,6.172477399082635,6,6
1,0.10098757525773196,12.571113290233367,5.924835764901672,6,6
1,0.12624395979381442,14.651190705052967,4.50847914290181,5,5
1,0.11444241145833334,13.588309082946381,5.058385601496022,5,5
1,0.10203326868686868,12.86480889281547,5.914153397511947,6,6
1,0.09770742577319588,13.032569847271418,6.398094763629395,6,6
1,0.10049206597938144,15.382582745228444,6.70060489357944,7,7
1,0.13154795729166666,11.631765866606898,3.3032169525704163,3,3
1,0.10734231684210527,13.21951355233163,5.533703028649209,6,6
1,0.1447864244680851,13.76643185946105,3.274701671252064,3,3
1,0.11384468556701031,12.473268983361427,4.775324813177255,5,5
1,0.0952309237113402,13.686009413553476,6.847424827567971,7,7
1,0.085024553,12.37008830046164,7.7193001908342405,8,8
1,0.10717135204081632,14.296561826704643,5.833507402136472,6,6
1,0.10719366804123712,12.3553152697049,5.282067946318314,5,5
1,0.10627864081632653,13.967874713027818,5.82958570218161,6,6
1,0.1096020775510204,22.362022609455806,6.887980938409942,7,7
1,0.163408403,17.421011661728286,3.2495389481137376,3,3
3,0.11635210496162281,7.264359106499864,1.7116820630591636,5,5
3,0.16251815001628003,7.832990198389205,0.23009944588152154,1,1
3,0.1336591844219002,7.050363219754909,0.38988235476372846,1,1
3,0.12819294505050638,7.275609405696062,0.9284647306135385,3,3
3,0.10333953879740015,7.597287900113753,3.0955422944356767,9,9
3,0.12726180600426154,7.751863145213325,1.4077548655417742,4,4
3,0.10629541250162045,7.4590630277355245,2.7044889313130502,8,8
3,0.1649124578249387,7.509618549339006,0.5943045214893532,2,2
3,0.13674972808051056,9.509355509954617,2.054648914355815,6,6
3,0.13175221874999998,9.42184120575685,2.283186635962997,7,7
3,0.17334847403958617,9.82134506718505,0.6777744941610406,2,2
3,0.15601572635149086,9.836805430541238,1.3266592577933995,4,4
4,0.15909288916859926,7.489443514729433,0.3904273819617783,2,2
4,0.08959364882034027,7.253375176235813,4.26816286778886,17,15
4,0.09186733845820913,6.7669186637834855,3.4963740812190864,14,14
4,0.10290516082464254,8.015020862492964,3.4793986610455336,14,14
4,0.10762259201620017,7.915418607837234,2.9749440662869717,12,12
4,0.12240823149009067,8.320052752354933,2.159807962024632,9,9
4,0.13621787374541483,7.966447020402325,1.0648568410696144,4,4
4,0.07325071752801748,8.492420119714922,7.764140191024715,31,15
4,0.1038651307070327,8.26951109836074,3.5815635747606898,14,14
4,0.1415961041494277,8.296016298998955,1.0353520761309525,4,4
4,0.09999858376560318,7.13711031973857,2.9945052039768205,12,12
4,0.10774366065002539,9.001851743802494,3.726875774600771,15,15
4,0.09279042792185604,7.595634299195591,4.194244972024623,17,15
4,0.09986714726080961,8.58003567520608,4.18582135011679,17,15
4,0.0830208633053559,8.021231862275243,5.811708522946788,23,15
4,0.10038827458430499,7.816112005636336,3.5642803032505155,14,14
4,0.08292187419857139,8.60154595574357,6.2466355684597135,25,15
4,0.11915576744315182,8.661526550900943,2.6197215007367953,10,10
4,0.09558675131393632,9.029224125254748,4.924126517213249,20,15
4,0.10511712817001431,8.319798345155093,3.503436445939051,14,14
4,0.08205877633479303,7.77367321087404,5.75442116702776,23,15
4,0.08774364800347222,7.000099420659473,4.254080689002798,17,15
4,0.09402929693003842,7.367304275082124,3.848240370184631,15,15
4,0.08857891179731243,7.236022415510436,4.379495199718415,18,15
4,0.07558206871993214,7.815693734868783,6.833266594517864,27,15
4,0.09599285537985627,7.432346251508512,3.690091232670872,15,15
4,0.06577877744011781,5.433107744302609,5.999635577630187,24,15
4,0.05919408422639817,5.208263048205047,7.293450492535437,29,15
4,0.06084500166729076,5.785421501306779,7.792791101601563,31,15
4,0.05973347927628272,4.996471703484129,6.73396895009496,27,15
4,0.06801424385293499,5.288696595265479,5.248677333983717,21,15
4,0.0570755909355716,5.588047740637149,8.572955829837529,34,15
4,0.0657211116262496,3.696738489931105,1.6903747595111547,7,7
4,0.03338121168855077,2.7768567034372937,11.951000743149024,48,15
4,0.04484005729051854,2.869215447550165,4.875121494110466,20,15
4,0.03206390976357188,2.840291054388098,13.58388282782626,54,15
4,0.02601789032498454,3.0013985938689203,21.776191360117764,87,15
4,0.03137758900868377,2.8007573026939028,14.0175656883595,56,15
4,0.0315484471570587,2.948036734060408,14.736841219016608,59,15
4,0.03794216454413833,2.892352435158458,9.068936160265938,36,15
4,0.02361951566445707,0.0,1,4,4
4,0.000920720954442383,0.0,1,4,4
4,0.0013118428285405072,0.0,1,4,4
4,0.0008508367474747476,0.0,1,4,4
4,0.0007808116919191918,0.0,1,4,4
4,0.000935460101010101,0.0,1,4,4
4,0.0008576818484848486,0.0,1,4,4
4,0.001107872345959596,0.0,1,4,4
4,0.0013162621962178177,0.0,1,4,4
