CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.000842001,0.0,1,1,1
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.000995855,20.107851134205596,1001.6756616193027,1002,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.14210704226804124,21.05095522605835,4.661759808180813,5,5
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.10615462448979592,18.06086028630721,6.651803377709443,7,7
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.11054008333333333,17.191295002934236,6.138043461845248,6,6
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.087256996875,15.896021718633863,8.31495790563706,8,8
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.09872029270833334,19.491240511423673,7.564374720470918,8,8
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.13253090319148936,17.95322512251882,4.760395053460243,5,5
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.09659701836734694,18.438418263722042,7.640557053471573,8,8
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.11236935670103093,17.308081204423623,6.010399345293866,6,6
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.11890024020618557,17.813710342690804,5.6035851182436085,6,6
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.09942551224489796,19.988109187273437,7.55629348285079,8,8
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.13182977959183673,19.698913053573477,5.047328385542428,5,5
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.10596345368421052,17.98257483533931,6.656746542942762,7,7
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.11491327113402063,18.563748659983005,6.008793558839532,6,6
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.13628700210526315,20.260718178248478,4.869627272667525,5,5
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.10847815102040817,18.01003337595115,6.4422159288100564,6,6
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.11139932210526315,15.594767698270957,5.770511729117409,6,6
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.106212441,18.3647568349851,6.692486752669353,7,7
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.18309697113402063,19.367990877290442,2.880007720002179,3,3
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.10213456669017906,8.98697582071626,4.227397656104244,13,13
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.10394513068442153,8.733461536420508,3.895353473309885,12,12
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.10799658829952334,8.695220335389648,3.509266199420427,11,11
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.13595799899488303,7.639712317153797,0.8104636344062267,2,2
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.11497746643394201,7.496856371054335,2.027894193921455,6,6
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.15906381395552224,8.531479172015485,0.4261365741633239,1,1
