CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.0009035373737373738,0.0,1,1,1
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.1394860030927835,13.594972808175495,3.491348024728465,3,3
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.10491388585858585,13.923431476162179,5.940557967528299,6,6
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.13403715319148937,12.811392357481878,3.5578415966548635,4,4
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.14143169489795918,24.61921970951649,5.039617337492279,5,5
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
1,0.22380941041666666,28.592998990091367,2.7194075615799114,3,3
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.051292812754875884,8.56143680657971,13.655767588084597,41,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.11541451108004386,9.19282802189544,3.2253990807745523,10,10
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.14908118442924925,7.979112139755799,0.44139323574150796,1,1
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.18398594289760348,8.920361716902114,0.16995602696707723,1,1
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.14192690637729846,10.024851516898098,2.058275299608954,6,6
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.12660721515144208,8.758860564826835,2.1899389322763816,7,7
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
3,0.33286067772923666,10.650226523774087,1.6904758835893277,5,5
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.09707608382192098,5.606508856065934,1.382992570706937,7,7
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.08293490147409115,5.810894923189551,3.453123211093467,17,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.06685678487614427,5.323456313915119,5.564950883963498,28,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.05591622956895449,5.2388984493148385,8.339904319390993,42,15
CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
5,0.06450723102099018,5.4703244667300055,6.361912392930159,32,15
