CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
2,0.17956356443298968,10.69096919992823,0.8922140759708842,2,2
2,0.15464405688164895,11.446053843820547,2.098144799597337,1,1
2,0.12968535381006865,12.341638628628576,3.6596451000458283,1,1
2,0.12994512287234042,14.154991733149636,4.16323343325446,1,1
2,0.2545001934908999,14.826583381360466,0.5569489956469562,3,3
3,0.12611188478225807,10.556219877487932,3.1929227652570225,2,2
3,0.12468876296799518,9.439175145819169,2.7228958700874406,2,2
3,0.1298536417869416,9.424175037829812,2.395473528549145,2,2
3,0.20349909726996965,9.577127645377402,0.3067453027901184,5,5
5,0.18649766029433548,5.9157957673890005,3.0899507405123092,3,3
5,0.08098440649534586,6.506529533691435,4.663467978232161,2,2
2,0.30153306225868726,16.845458938547974,0.34822694617124467,3,3
3,0.29588562955189074,10.967995199309003,1.1790340176016707,3,3
3,0.13245219847199843,12.261179378254587,3.4719824161531827,2,2
3,0.11232302287559737,10.381122370508862,4.086459407281554,1,1
3,0.18878089944335885,12.831392482967653,1.4004528593722796,3,3
3,0.13988912828253433,12.457801977721322,3.134969239704423,2,2
3,0.10406386532713618,9.63642035994179,4.420834827905521,1,1
3,0.1378096974061088,11.759837823105771,3.0046240811439047,2,2
3,0.0886078840425532,9.474191210557757,6.008182119388938,1,1
1,0.4248626512195122,26.33018545847829,0.45474065258460045,1,1
1,0.33745564204545453,18.335213646052416,0.23635939925109223,2,2
2,0.10249767731958763,16.771825223102923,6.775128501151536,1,1
2,0.12235499375,6.357686316457628,0.30844359572143115,4,4
2,0.23241718177466864,14.586071904703562,0.8746801839395839,2,2
2,0.1746483911622807,13.778150943010376,2.096855963455171,1,1
2,0.14280571589678076,12.430668339811348,2.9802109548205986,1,1
2,0.17041817201916068,14.155796532276714,2.3357968520554393,1,1
2,0.16284175494152048,18.630003537712817,3.45708836267733,1,1
2,0.19994063515905147,15.800880037406536,1.8371038511328566,1,1
2,0.25868404215315094,13.968627309808852,0.28626992489189923,4,4
4,0.11334899648975993,8.105222900361873,2.6534483218085407,2,2
4,0.09675531606351126,8.905351560053333,4.720747947993398,2,2
2,0.1777912578125,15.880109212915777,2.4759805601371268,1,1
2,0.150114851937629,14.693845011415721,3.258780728301067,1,1
2,0.19015903495387954,13.864587732107228,1.6524462785387783,2,2
2,0.16161907973462708,15.318292038462918,2.923316812170983,1,1
2,0.1784334965305226,15.575994917605705,2.3942610757008036,1,1
2,0.2253649807904412,14.65182170900433,1.024701685578558,2,2
2,0.1547312741111111,14.012719428433432,2.8946308251292625,1,1
2,0.1648748436858573,13.815061339049691,2.445968296010598,1,1
2,0.11361634236126343,13.531929531494358,5.106586164255568,1,1
2,0.1725625226804124,13.148774640000038,1.9923653384322213,1,1
2,0.20861042395426,13.434456778815026,1.071851201003185,2,2
2,0.14390042270114944,13.199717940327316,3.1612901838433207,1,1
2,0.21131659951274362,16.967820922238637,1.7854815638301178,1,1
2,0.18624922604166666,14.24014222013733,1.8579489407819358,1,1
2,0.19531971630434783,15.325330163634028,1.8572383845318814,1,1
2,0.23289512201280654,12.602618870966058,0.3263488591567015,4,4
4,0.3495656795755187,5.058706722451044,7.0232564130337884,2,2
4,0.07348129186173577,5.544452407173682,4.590882964881226,2,2
2,0.1087157464991409,10.170295762082707,4.28202165934556,1,1
2,0.09346394463051569,10.551791305148633,5.960781095080783,1,1
1,0.17132641123595505,20.73049075034165,3.424905450490638,1,1
1,0.2898813943820225,22.656641150907166,1.242828280602159,1,1
1,0.270045534375,19.325748137287295,1.1158572334929584,1,1
1,0.113706140625,19.760476410856118,6.264296418727134,0,0
1,0.28407427916666667,20.1894946483092,1.043670574550695,1,1
1,0.35171131170212766,18.806724746930396,0.18461745828499562,2,2
2,0.12744833673469388,20.51889931434071,5.40953871730776,1,1
2,0.1811605806122449,19.412658315083696,2.9443256370123843,1,1
2,0.2565552674269006,5.256738695066917,5.613805175197956,1,1
2,0.07207097968686868,5.500375490985721,4.78492181738672,1,1
1,0.11563438510638298,12.916616978746092,4.776964075035587,0,0
1,0.12827584526315788,10.763401931116219,3.1503284993844853,1,1
1,0.12016043157894737,10.863814297185279,3.719772048626351,1,1
1,0.1015747793814433,10.221494039288045,4.953310737880677,0,0
1,0.09556364166666667,10.635863261640788,5.763154916739107,0,0
1,0.10825265204081633,9.907719272209526,4.191078857149725,0,0
1,0.10448931414141414,12.217960506968286,5.478020596234098,0,0
1,0.12280593684210526,12.911827433088721,4.270510255764768,0,0
1,0.09808228865979382,10.713296443137894,5.5284230668105625,0,0
1,0.10191985833333334,12.269024262833444,5.736326890292855,0,0
1,0.10784908494623656,11.273922672535654,4.837202331317052,0,0
1,0.11391067916666667,10.626177932462609,4.073447465193635,0,0
1,0.1256807375,12.64572201408383,4.002762472723108,0,0
1,0.11953504583333334,11.227922480574533,3.9125638317880393,1,1
1,0.099107340625,8.896166549305502,4.4696715823620154,0,0
1,0.124629446875,8.051377057230745,1.8136681087712339,1,1
1,0.0010023777777777778,0.0,4,0,0
1,0.0008427393939393939,0.0,4,0,0
1,0.0009798474747474747,0.0,4,0,0
1,0.0009617484848484848,0.0,4,0,0
1,0.0011388141414141414,0.0,4,0,0
1,0.001028204,0.0,4,0,0
1,0.0039843676767676766,0.0,4,0,0
1,0.0008205438775510204,0.0,4,0,0
1,0.0010557551020408164,0.0,4,0,0
1,0.000895159595959596,0.0,4,0,0
1,0.0010322707070707072,0.0,4,0,0
1,0.0008664464646464646,0.0,4,0,0
1,0.0010257030303030303,0.0,4,0,0
1,0.000991788,0.0,4,0,0
1,0.001236662,0.0,4,0,0
1,0.0010467545454545455,0.0,4,0,0
1,0.0009342959595959596,0.0,4,0,0
1,0.00086661,0.0,4,0,0
1,0.00085031,0.0,4,0,0
1,0.000840127,0.0,4,0,0
1,0.000973555,0.0,4,0,0
1,0.0010095434343434344,0.0,4,0,0
1,0.0009040727272727273,0.0,4,0,0
1,0.000899893,0.0,4,0,0
