CtnNum,Uw_cpu,Xw,mtp,NewCtnNum,ActNewCtnNum
4,0.0008281788787878788,0.0,4,2,2
2,0.0008106568787878788,0.0,4,1,1
1,0.001295423,0.0,4,0,0
1,0.0009874939393939395,0.0,4,0,0
1,0.0008327262626262626,0.0,4,0,0
1,0.0008825282828282829,0.0,4,0,0
1,0.001034076530612245,16.15259704398385,963.9509358382684,0,0
1,0.09566225773195876,14.800598054052935,7.075201567508021,0,0
1,0.09680349484536083,14.428657385517283,6.8648796627069055,0,0
1,0.10664923333333333,10.411058330253233,4.573946763458455,0,0
1,0.14001323804347826,15.506860197686821,3.9178024337439807,1,1
1,0.10258356020408163,11.95282259922959,5.565038294902835,0,0
1,0.10195899072164949,12.093658717686349,5.6734667067815,0,0
1,0.10091282244897959,13.935565977008146,6.321601639400204,0,0
1,0.09185436082474227,12.76375972055959,6.969458339190191,0,0
1,0.11258479479166666,11.532805057832896,4.546735401599162,0,0
1,0.11099978645833333,16.40097937668534,5.960427909235416,0,0
1,0.11791029895833334,12.624604487309089,4.520503247530376,0,0
1,0.11003491546391753,12.623514579652248,5.127162368029705,0,0
1,0.11441292947368421,13.066144607670683,4.91358741530997,0,0
1,0.10355216804123711,12.23424687437582,5.570079993254291,0,0
1,0.11427080918367347,13.030448471453719,4.913974847941774,0,0
1,0.12589457291666667,12.234423144280784,3.8563247715486373,1,1
1,0.13261489368421053,13.58402462083561,3.8598368921621375,1,1
1,0.10554144421052632,15.818484240126299,6.314091773913696,0,0
1,0.4024865166666667,16.880789670803956,0.4773914641867029,1,1
1,0.32263429787234044,18.462426473452695,0.39128141617126005,2,2
2,0.3107973010989011,6.901734545593756,4.027024492770439,1,1
2,0.17496851644303063,9.999543069516795,0.7150854581005445,2,2
2,0.1505815147342995,9.619245722206259,1.443008624228177,2,2
2,0.12192568102825907,11.228869554425657,3.748909583633841,1,1
2,0.14374682076539855,9.381698295786965,1.6271501279043856,2,2
2,0.12542939656166815,10.790616993673119,3.338957365214906,1,1
2,0.14317985344387757,10.298317774148986,2.129060930337825,1,1
